Gene stable ID,Interpro ID,Interpro Description,SpectralCounts
WBGene00000010,IPR002293,Amino acid/polyamine transporter I,1
WBGene00000013,IPR031770,Antibacterial factor-related peptide,22
WBGene00000013,IPR038204,Antibacterial factor-related peptide superfamily,22
WBGene00000020,IPR003439,ABC transporter-like,12
WBGene00000020,IPR003593,AAA+ ATPase domain,12
WBGene00000020,IPR017871,"ABC transporter, conserved site",12
WBGene00000020,IPR026082,ABC transporter A,12
WBGene00000020,IPR027417,P-loop containing nucleoside triphosphate hydrolase,12
WBGene00000022,IPR003439,ABC transporter-like,168
WBGene00000022,IPR003593,AAA+ ATPase domain,168
WBGene00000022,IPR017871,"ABC transporter, conserved site",168
WBGene00000022,IPR026082,ABC transporter A,168
WBGene00000022,IPR027417,P-loop containing nucleoside triphosphate hydrolase,168
WBGene00000035,IPR000997,Cholinesterase,1
WBGene00000035,IPR002018,"Carboxylesterase, type B",1
WBGene00000035,IPR019819,"Carboxylesterase type B, conserved site",1
WBGene00000035,IPR019826,"Carboxylesterase type B, active site",1
WBGene00000035,IPR029058,Alpha/Beta hydrolase fold,1
WBGene00000039,IPR001548,"Peptidase M2, peptidyl-dipeptidase A",3
WBGene00000039,,,3
WBGene00000040,IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain",265
WBGene00000040,IPR001030,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain",265
WBGene00000040,IPR006249,Aconitase/Iron-responsive element-binding protein 2,265
WBGene00000040,IPR015928,"Aconitase/3-isopropylmalate dehydratase, swivel",265
WBGene00000040,IPR015931,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",265
WBGene00000040,IPR018136,"Aconitase family, 4Fe-4S cluster binding site",265
WBGene00000040,IPR036008,"Aconitase, iron-sulfur domain",265
WBGene00000041,IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain",85
WBGene00000041,IPR001030,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain",85
WBGene00000041,IPR006248,"Aconitase, mitochondrial-like",85
WBGene00000041,IPR015928,"Aconitase/3-isopropylmalate dehydratase, swivel",85
WBGene00000041,IPR015931,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",85
WBGene00000041,IPR015932,"Aconitase, domain 2",85
WBGene00000041,IPR018136,"Aconitase family, 4Fe-4S cluster binding site",85
WBGene00000041,IPR036008,"Aconitase, iron-sulfur domain",85
WBGene00000064,IPR004000,Actin family,32
WBGene00000064,IPR004001,"Actin, conserved site",32
WBGene00000064,IPR020902,Actin/actin-like conserved site,32
