Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
CAEEL	sp|A0A131MBU3|IRG7_CAEEL	-1202.7	44	82	72	1071	243.6	21	NA	21	84	21	94	75	184	68	170	39	94	84	31	85	1071
NA	sp|A3QMC8|GMPPB_CAEEL	-47.4	22	29	6	7	40.1	NA	NA	3	NA	2	NA	NA	NA	NA	NA	1	NA	NA	1	NA	7
NA	sp|A5JYQ9|VMA21_CAEEL	-2.3	18	36	1	1	11.3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|A5JYX5|DHS3_CAEEL	-162.6	47	65	14	34	33.9	NA	NA	1	15	1	15	NA	1	NA	1	NA	NA	NA	NA	NA	34
NA	sp|A5JYX8|NCLN_CAEEL	-121.1	27	42	10	29	61.8	NA	NA	1	10	NA	11	NA	3	NA	4	NA	NA	NA	NA	NA	29
NA	sp|A8WHP8|PLIN1_CAEEL	-39.3	12	23	4	14	46.5	NA	NA	2	2	3	3	1	NA	1	2	NA	NA	NA	NA	NA	14
NA	sp|B1V8A0|SH3GH_CAEEL	-64.9	24	33	6	17	42.8	1	NA	2	NA	4	NA	NA	NA	NA	NA	NA	2	NA	4	4	17
NA	sp|C0HLB4|VATL3_CAEEL	-172.4	60	91	13	154	16.4	3	12	3	18	5	17	3	22	3	18	2	3	7	9	29	154
NA	sp|D0PV95|DDX3_CAEEL	-74.5	12	15	7	22	76.3	NA	NA	2	5	3	4	NA	1	NA	4	NA	NA	NA	NA	3	22
NA	sp|D3YT16|ELLI1_CAEEL	-3.3	2.2	3	1	2	31.9	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|D9N129|WDR20_CAEEL	-2.7	1.6	3	1	1	83.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
