Gene_name	Length
act-1	376
zip-8	176
cyp-36A1	493
ccpp-6	459
cpg-2	524
des-2	548
ceh-62	416
cgp-1	613
chd-3	1787
cex-2	189
cdf-1	561
atg-16.2	534
dpy-23	441
cyp-13A3	520
bre-5	322
cebp-2	100
che-1	279
chk-1	503
chst-1	329
mig-22	804
apx-1	515
lem-4	603
asic-1	823
arx-6	169
asp-17	391
gbh-1	421
byn-1	449
cah-2	337
fmi-1	2596
cth-2	392
cht-1	617
aex-1	1009
R08D7.1	458
best-1	450
brap-2	590
cyp-13A10	519
cyp-13A7	518
C38H2.2	389
unc-38	511
sodh-1	349
alx-1	882
acr-3	487
R04B3.2	363
asp-3	398
ZK1127.4	349
bar-1	811
bath-38	387
best-25	602
F35C8.5	300
atg-5	275
brd-1	702
mutd-1	131
best-9	399
baf-1	89
Y48B6A.1	674
cyp-13A8	509
crt-1	395
capg-1	1153
ced-12	731
chp-1	321
cdc-42	191
cdk-12	730
clec-87	233
atg-16.1	578
F10B5.2	357
aco-1	887
atg-13	443
bbs-4	462
bath-41	418
cnx-1	619
cah-1	365
prmt-5	734
R53.4	153
arr-1	435
bag-1	210
unc-31	1378
ced-6	492
chs-1	1322
abf-2	85
act-2	376
cdc-48.3	724
bath-47	706
K12H4.3	352
B0361.2	460
tpra-1	458
top-2	1520
ubh-4	321
unc-18	673
ubl-5	73
unc-36	1249
unc-79	870
mig-14	549
ZK673.5	146
zip-10	165
B0403.1	198
C53C9.2	397
C32D5.6	578
C32D5.10	610
srd-47	317
smu-1	510
srd-7	318
srd-41	324
tag-151	785
ubxn-2	301
ugtp-1	355
vps-26	356
T25D10.1	327
ZK328.6	394
ZK177.2	296
F37A4.3	272
C13B9.2	458
swp-1	749
str-217	344
unc-98	310
ugt-55	512
ucr-1	471
ugt-48	526
cyk-3	1178
F13B12.4	435
F26C11.3	1312
F31E3.4	1131
czw-1	778
C16C10.8	253
ran-3	569
rpl-19	198
rpl-33	124
H14A12.3	292
snr-2	160
rsp-3	258
rsp-5	208
ruvb-2	448
scpl-1	491
sra-20	339
slt-1	1410
spe-11	299
snpc-4	944
C38C10.2	493
spe-27	131
srg-2	327
spcs-2	180
spr-4	1311
hmg-4	697
ssp-9	109
trap-2	188
stdh-2	315
sars-1	487
tbb-4	444
nud-2	293
nhr-18	394
C08B6.8	193
phy-2	539
ZK550.6	312
pacs-1	423
rnr-2	381
rgs-3	363
mrpl-45	357
rpl-24.2	162
rpb-10	67
sqv-7	329
K07C5.6	647
slo-1	1140
svop-1	520
sptl-1	458
snb-1	109
fars-3	591
tac-1	260
C03A3.2	492
adsl-1	478
rad-50	1298
rbf-1	1106
rgs-7	819
rgs-2	169
rpl-2	260
mrpl-51	199
mrps-24	164
cho-1	576
sgk-1	463
srd-46	317
sra-1	331
srd-48	316
sre-2	369
srg-30	299
F37F2.2	142
C08F8.2	721
cct-1	549
tin-10	86
kat-1	407
F45G2.8	136
trm-1	526
ttr-15	130
rcan-1	207
rgs-9	235
rpl-26	142
rpl-7A	265
mrpl-24	278
rrp-1	397
F53E10.6	191
